file,sample,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
T2_CG35.filtered.gatk.gd,T2_CG35,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG36.filtered.gatk.gd,T2_CG36,2,1,1,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_CG37.filtered.gatk.gd,T2_CG37,2,1,1,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_CG38.filtered.gatk.gd,T2_CG38,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG39.filtered.gatk.gd,T2_CG39,4,3,1,0,0,0,0,0,0,0,3773875,3773875,1,2,0,0,0,0
T2_CG40.filtered.gatk.gd,T2_CG40,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG41.filtered.gatk.gd,T2_CG41,30,26,4,0,0,0,0,0,0,0,3773875,3773875,22,4,0,0,0,0
T2_CG42.filtered.gatk.gd,T2_CG42,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG43.filtered.gatk.gd,T2_CG43,23,6,14,0,3,0,0,0,0,0,3773875,3773875,1,0,0,5,0,0
T2_CG44.filtered.gatk.gd,T2_CG44,3,0,3,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG46.filtered.gatk.gd,T2_CG46,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG47.filtered.gatk.gd,T2_CG47,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG48.filtered.gatk.gd,T2_CG48,2,2,0,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T2_WG01.filtered.gatk.gd,T2_WG01,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
