file,sample,CONVERTED-BASES,CONVERTED-READS,INPUT-BASES,INPUT-READS,MAPPED-BASES,MAPPED-READS,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
T2_WG21.bre.gd,T2_WG21,430709165,3519729,431094690,3522828,427933998,3497838,4,2,2,0,0,0,0,0,0,0,3773875,3711081,1,0,0,0,0,1
T2_WG22.bre.gd,T2_WG22,190286702,1536817,190444126,1538080,188446336,1522182,3,1,2,0,0,0,0,0,0,0,3773875,3705338,0,0,0,0,0,1
T2_WG23.bre.gd,T2_WG23,8467498,70166,8476041,70238,6944002,57519,1,0,0,1,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG24.bre.gd,T2_WG24,3312544350,27966571,3314986672,27986416,3301044140,27879849,7,2,5,0,0,0,0,0,0,0,3773875,3712838,0,1,0,0,0,1
T2_WG25.bre.gd,T2_WG25,1315834328,10821042,1317025935,10830702,1268154877,10434973,5,2,3,0,0,0,0,0,0,0,3773875,3712474,0,1,0,0,0,1
T2_WG26.bre.gd,T2_WG26,615511197,4916810,616076280,4921318,565160704,4522341,4,2,2,0,0,0,0,0,0,0,3773875,3711199,0,1,0,0,0,1
T2_WG27.bre.gd,T2_WG27,2385569857,19973567,2387179107,19986708,1755719856,14774255,132,89,43,0,0,0,0,0,0,0,3773875,3713853,0,1,0,87,0,1
T2_WG29.bre.gd,T2_WG29,996511069,8096756,997399584,8103862,984142816,7996335,3,1,2,0,0,0,0,0,0,0,3773875,3712203,0,0,0,0,0,1
T2_WG30.bre.gd,T2_WG30,2268563935,18999622,2270444210,19014830,2253913888,18882834,3,1,2,0,0,0,0,0,0,0,3773875,3712671,0,0,0,0,0,1
T2_WG31.bre.gd,T2_WG31,2305748769,19196609,2307539531,19211206,2291958008,19088243,5,3,2,0,0,0,0,0,0,0,3773875,3712612,0,1,0,0,0,2
T2_WG32.bre.gd,T2_WG32,323370659,2585180,323647333,2587386,320952824,2566469,5,2,3,0,0,0,0,0,0,0,3773875,3709307,0,0,0,0,0,2
T2_WG33.bre.gd,T2_WG33,2305802229,18568676,2307970563,18586018,2295895583,18494490,5,2,3,0,0,0,0,0,0,0,3773875,3712741,0,1,0,0,0,1
T2_WG34.bre.gd,T2_WG34,1925809473,15979229,1926809418,15987396,774781016,6487935,158,104,54,0,0,0,0,0,0,0,3773875,3713536,0,0,0,103,0,1
T2_WG35.bre.gd,T2_WG35,109722300,883562,109809117,884260,108482740,873671,8,5,3,0,0,0,0,0,0,0,3773875,3681634,1,3,0,0,0,1
